Rk,Player,Tm,,,,,,,,
1,Stephen Curry\curryst01,GSW,,,,,,,,
2,John Wall\walljo01,HOU,,,,,,,,
3,Russell Westbrook\westbru01,LAL,,,,,,,,
4,James Harden\hardeja01,BRK,,,,,,,,
5,LeBron James\jamesle01,LAL,,,,,,,,
6,Kevin Durant\duranke01,BRK,,,,,,,,
7,Giannis Antetokounmpo\antetgi01,MIL,,,,,,,,
8,Paul George\georgpa01,LAC,,,,,,,,
9,Damian Lillard\lillada01,POR,,,,,,,,
10,Kawhi Leonard\leonaka01,LAC,,,,,,,,
11,Klay Thompson\thompkl01,GSW,,,,,,,,
12,Jimmy Butler\butleji01,MIA,,,,,,,,
13,Tobias Harris\harrito02,PHI,,,,,,,,
14,Khris Middleton\middlkh01,MIL,,,,,,,,
15,Anthony Davis\davisan02,LAL,,,,,,,,
16,Rudy Gobert\goberru01,UTA,,,,,,,,
17,Kyrie Irving\irvinky01,BRK,,,,,,,,
18,Bradley Beal\bealbr01,WAS,,,,,,,,
19,Kristaps Porziņģis\porzikr01,DAL,,,,,,,,
20,Devin Booker\bookede01,PHO,,,,,,,,
21,Karl-Anthony Towns\townska01,MIN,,,,,,,,
22,Ben Simmons\simmobe01,PHI,,,,,,,,
23,Jamal Murray\murraja01,DEN,,,,,,,,
24,Joel Embiid\embiijo01,PHI,,,,,,,,
25,Andrew Wiggins\wiggian01,GSW,,,,,,,,
26,Pascal Siakam\siakapa01,TOR,,,,,,,,
27,Kevin Love\loveke01,CLE,,,,,,,,
28,CJ McCollum\mccolcj01,POR,,,,,,,,
29,Chris Paul\paulch01,PHO,,,,,,,,
30,Nikola Jokić\jokicni01,DEN,,,,,,,,
31,Jrue Holiday\holidjr01,MIL,,,,,,,,
32,D'Angelo Russell\russeda01,MIN,,,,,,,,
33,Gordon Hayward\haywago01,CHO,,,,,,,,
34,Blake Griffin\griffbl01,DET,,,,,,,,
35,Brandon Ingram\ingrabr01,NOP,,,,,,,,
36,De'Aaron Fox\foxde01,SAC,,,,,,,,
37,Bam Adebayo\adebaba01,MIA,,,,,,,,
38,Donovan Mitchell\mitchdo01,UTA,,,,,,,,
39,Jayson Tatum\tatumja01,BOS,,,,,,,,
40,Al Horford\horfoal01,BOS,,,,,,,,
41,Kyle Lowry\lowryky01,MIA,,,,,,,,
